Signal,SCR,SCL
5.8345,0.0,5.5825106664983695
5.8355,0.0,5.583857164402807
5.8355,0.0,5.585203662307244
5.837,0.0,5.586550160211681
5.8375,0.0,5.587896658116119
5.837,0.0,5.589243156020556
5.8365,0.0,5.590589653924993
5.836,0.0,5.59193615182943
5.8365,0.0,5.593282649733868
5.836,0.0,5.5946291476383045
5.8365,0.0,5.595975645542742
5.8365,0.0,5.59732214344718
5.8365,0.0,5.598668641351616
5.836,0.0,5.600015139256054
5.8355,0.0,5.601361637160491
5.834,0.0,5.602708135064929
5.832,0.0,5.6040546329693655
5.8315,0.0,5.605401130873803
5.8325,0.0,5.6067476287782405
5.8325,0.0,5.608094126682677
5.8305,0.0,5.609440624587115
5.829,0.0,5.610787122491552
5.827,0.0,5.612133620395989
5.8245,0.0,5.613480118300426
5.8235,0.0,5.614826616204864
5.822,0.0,5.616173114109301
5.82,0.0,5.617519612013738
5.819,0.0,5.618866109918176
5.817,0.0,5.620212607822613
5.816,0.0,5.62155910572705
5.814,0.0,5.622905603631487
5.813,0.0,5.624252101535925
5.812,0.0,5.625598599440362
5.8115,0.0,5.626945097344799
5.8105,0.0,5.6282915952492365
5.8085,0.0,5.629638093153674
5.806,0.0,5.630984591058111
5.8035,0.0,5.632331088962548
5.8015,0.0,5.633677586866986
5.7985,0.0,5.635024084771423
5.796,0.0,5.63637058267586
5.794,0.0,5.637717080580297
5.791,0.0,5.639063578484735
5.789,0.0,5.640410076389172
5.786,0.0,5.641756574293609
5.7835,0.0,5.643103072198047
5.7805,0.0,5.644449570102483
5.778,0.0,5.645796068006921
5.7755,0.0,5.647142565911358
5.7745,0.0,5.648489063815796
5.773,0.0,5.6498355617202325
5.771,0.0,5.65118205962467
5.769,0.0,5.6525285575291075
5.767,0.0,5.653875055433544
5.765,0.0,5.655221553337982
5.7625,0.0,5.656568051242419
5.762,0.0,5.657914549146856
5.76,0.0,5.659261047051293
5.7585,0.0,5.660607544955731
5.757,0.0,5.6619540428601685
5.755,0.0,5.663300540764605
5.753,0.0,5.664647038669043
5.7515,0.0,5.66599353657348
5.749,0.0,5.667340034477917
5.7475,0.0,5.668686532382354
5.7465,0.0,5.670033030286792
5.745,0.0,5.671379528191229
5.7435,0.0,5.672726026095666
5.7415,0.0,5.6740725240001035
5.739,0.0,5.675419021904541
5.7365,0.0,5.676765519808978
5.735,0.0,5.678112017713415
5.734,0.0,5.679458515617853
5.7335,0.0,5.680805013522289
5.7335,0.0,5.682151511426727
5.7335,0.0,5.6834980093311644
5.733,0.0,5.684844507235602
5.734,0.0,5.686191005140039
5.734,0.0,5.687537503044476
5.7355,0.0,5.688884000948914
5.737,0.0,5.69023049885335
5.74,0.0,5.691576996757788
5.7425,0.0,5.692923494662225
5.7445,0.0,5.694269992566663
5.7465,0.0,5.6956164904710995
5.748,0.0,5.696962988375537
5.75,0.0,5.698309486279975
5.7515,0.0,5.699655984184411
5.754,0.0,5.701002482088849
5.757,0.0,5.702348979993286
5.76,0.0,5.703695477897723
5.763,0.0,5.70504197580216
5.7645,0.0,5.706388473706598
5.7665,0.0,5.7077349716110355
5.769,0.0,5.709081469515472
5.7715,0.0,5.71042796741991
5.774,0.0,5.711774465324347
5.778,0.0,5.713120963228784
5.7815,0.0,5.714467461133221
5.783,0.0,5.715813959037659
5.7845,0.0,5.717160456942096
5.7865,0.0,5.718506954846533
5.7885,0.0,5.719853452750971
5.791,0.0,5.721199950655408
5.7925,0.0,5.722546448559845
5.795,0.0,5.723892946464282
5.7975,0.0,5.72523944436872
5.8,0.0,5.726585942273157
5.802,0.0,5.727932440177594
5.8055,0.0,5.7292789380820315
5.808,0.0,5.730625435986469
5.812,0.0,5.731971933890906
5.816,0.0,5.733318431795343
5.8205,0.0,5.734664929699781
5.825,0.0,5.736011427604217
5.83,0.0,5.737357925508655
5.8335,0.0,5.738704423413092
5.838,0.0,5.74005092131753
5.8425,0.0,5.741397419221967
5.846,0.0,5.742743917126404
5.85,0.0,5.744090415030842
5.8545,0.0,5.745436912935278
5.8595,0.0,5.746783410839716
5.864,0.0,5.748129908744153
5.8685,0.0,5.74947640664859
5.873,0.0,5.7508229045530275
5.8765,0.0,5.752169402457465
5.8815,0.0,5.7535159003619025
5.886,0.0,5.754862398266339
5.8905,0.0,5.756208896170777
5.895,0.0,5.757555394075214
5.899,0.0,5.758901891979651
5.9015,0.0,5.760248389884088
